Fecha;Precio;Generación
22/09/2016;Medio;Renovable Bajo
23/09/2016;Medio;Renovable Bajo
24/09/2016;Bajo;Renovable Bajo
25/09/2016;Medio;Renovable Bajo
26/09/2016;Medio;Renovable Bajo
27/09/2016;Medio;Renovable Bajo
28/09/2016;Medio;Renovable Bajo
29/09/2016;Medio;Renovable Bajo
30/09/2016;Medio;Renovable Bajo
01/10/2016;Medio;Renovable Bajo
02/10/2016;Medio;Renovable Bajo
03/10/2016;Medio;Renovable Bajo
04/10/2016;Medio;Renovable Bajo
05/10/2016;Medio;Renovable Bajo
06/10/2016;Medio;Renovable Bajo
07/10/2016;Medio;Renovable Bajo
08/10/2016;Medio;Renovable Bajo
09/10/2016;Medio;Renovable Bajo
10/10/2016;Medio;Renovable Bajo
11/10/2016;Medio;Renovable Bajo
12/10/2016;Medio;Renovable Bajo
13/10/2016;Medio;Renovable Bajo
14/10/2016;Medio;Renovable Bajo
15/10/2016;Medio;Renovable Bajo
16/10/2016;Medio;Renovable Bajo
17/10/2016;Alto;Renovable Bajo
18/10/2016;Medio;Renovable Bajo
19/10/2016;Alto;Renovable Bajo
20/10/2016;Alto;Renovable Bajo
21/10/2016;Alto;Renovable Bajo
22/10/2016;Medio;Renovable Bajo
23/10/2016;Bajo;Renovable Medio
24/10/2016;Medio;Renovable Bajo
25/10/2016;Alto;Renovable Bajo
26/10/2016;Alto;Renovable Bajo
27/10/2016;Medio;Renovable Bajo
28/10/2016;Medio;Renovable Bajo
29/10/2016;Medio;Renovable Bajo
30/10/2016;Medio;Renovable Bajo
31/10/2016;Medio;Renovable Bajo
01/11/2016;Medio;Renovable Bajo
02/11/2016;Alto;Renovable Bajo
03/11/2016;Alto;Renovable Bajo
04/11/2016;Alto;Renovable Bajo
05/11/2016;Medio;Renovable Medio
06/11/2016;Medio;Renovable Bajo
07/11/2016;Medio;Renovable Bajo
08/11/2016;Medio;Renovable Medio
09/11/2016;Medio;Renovable Medio
10/11/2016;Alto;Renovable Bajo
11/11/2016;Alto;Renovable Bajo
12/11/2016;Alto;Renovable Bajo
13/11/2016;Medio;Renovable Bajo
14/11/2016;Medio;Renovable Medio
15/11/2016;Alto;Renovable Bajo
16/11/2016;Alto;Renovable Bajo
17/11/2016;Alto;Renovable Bajo
18/11/2016;Alto;Renovable Bajo
19/11/2016;Medio;Renovable Bajo
20/11/2016;Medio;Renovable Medio
21/11/2016;Medio;Renovable Medio
22/11/2016;Alto;Renovable Bajo
23/11/2016;Medio;Renovable Bajo
24/11/2016;Medio;Renovable Bajo
25/11/2016;Medio;Renovable Bajo
26/11/2016;Medio;Renovable Bajo
27/11/2016;Medio;Renovable Bajo
28/11/2016;Alto;Renovable Bajo
29/11/2016;Alto;Renovable Bajo
30/11/2016;Medio;Renovable Medio
01/12/2016;Alto;Renovable Bajo
02/12/2016;Alto;Renovable Bajo
03/12/2016;Alto;Renovable Bajo
04/12/2016;Medio;Renovable Bajo
05/12/2016;Alto;Renovable Bajo
06/12/2016;Alto;Renovable Bajo
07/12/2016;Alto;Renovable Bajo
08/12/2016;Medio;Renovable Bajo
09/12/2016;Alto;Renovable Bajo
10/12/2016;Alto;Renovable Bajo
11/12/2016;Alto;Renovable Bajo
12/12/2016;Alto;Renovable Bajo
13/12/2016;Alto;Renovable Bajo
14/12/2016;Alto;Renovable Bajo
15/12/2016;Alto;Renovable Bajo
16/12/2016;Alto;Renovable Bajo
17/12/2016;Alto;Renovable Bajo
18/12/2016;Alto;Renovable Bajo
19/12/2016;Alto;Renovable Bajo
20/12/2016;Alto;Renovable Bajo
21/12/2016;Alto;Renovable Bajo
22/12/2016;Alto;Renovable Bajo
23/12/2016;Alto;Renovable Bajo
24/12/2016;Alto;Renovable Bajo
25/12/2016;Medio;Renovable Bajo
26/12/2016;Medio;Renovable Bajo
27/12/2016;Alto;Renovable Bajo
28/12/2016;Alto;Renovable Bajo
29/12/2016;Alto;Renovable Bajo
30/12/2016;Alto;Renovable Bajo
31/12/2016;Alto;Renovable Bajo
01/01/2017;Alto;Renovable Bajo
02/01/2017;Alto;Renovable Bajo
03/01/2017;Alto;Renovable Bajo
04/01/2017;Alto;Renovable Bajo
05/01/2017;Alto;Renovable Bajo
06/01/2017;Alto;Renovable Bajo
07/01/2017;Alto;Renovable Bajo
08/01/2017;Alto;Renovable Bajo
09/01/2017;Alto;Renovable Bajo
10/01/2017;Alto;Renovable Medio
11/01/2017;Alto;Renovable Bajo
12/01/2017;Alto;Renovable Bajo
13/01/2017;Alto;Renovable Medio
14/01/2017;Alto;Renovable Medio
15/01/2017;Alto;Renovable Medio
16/01/2017;Alto;Renovable Medio
17/01/2017;Alto;Renovable Alto
18/01/2017;Alto;Renovable Medio
19/01/2017;Muy Alto;Renovable Medio
20/01/2017;Muy Alto;Renovable Bajo
21/01/2017;Alto;Renovable Bajo
22/01/2017;Alto;Renovable Bajo
23/01/2017;Alto;Renovable Bajo
24/01/2017;Muy Alto;Renovable Medio
25/01/2017;Muy Alto;Renovable Bajo
26/01/2017;Muy Alto;Renovable Bajo
27/01/2017;Alto;Renovable Medio
28/01/2017;Alto;Renovable Medio
29/01/2017;Alto;Renovable Bajo
30/01/2017;Alto;Renovable Bajo
31/01/2017;Alto;Renovable Bajo
01/02/2017;Alto;Renovable Bajo
02/02/2017;Medio;Renovable Medio
03/02/2017;Medio;Renovable Alto
04/02/2017;Medio;Renovable Alto
05/02/2017;Bajo;Renovable Muy Alto
06/02/2017;Medio;Renovable Alto
07/02/2017;Alto;Renovable Medio
08/02/2017;Alto;Renovable Alto
09/02/2017;Alto;Renovable Medio
10/02/2017;Alto;Renovable Medio
11/02/2017;Alto;Renovable Medio
12/02/2017;Medio;Renovable Alto
13/02/2017;Medio;Renovable Medio
14/02/2017;Alto;Renovable Bajo
15/02/2017;Alto;Renovable Bajo
16/02/2017;Alto;Renovable Bajo
17/02/2017;Alto;Renovable Bajo
18/02/2017;Alto;Renovable Bajo
19/02/2017;Medio;Renovable Bajo
20/02/2017;Medio;Renovable Bajo
21/02/2017;Medio;Renovable Bajo
22/02/2017;Medio;Renovable Bajo
23/02/2017;Alto;Renovable Bajo
24/02/2017;Medio;Renovable Medio
25/02/2017;Medio;Renovable Bajo
26/02/2017;Medio;Renovable Bajo
27/02/2017;Medio;Renovable Medio
28/02/2017;Medio;Renovable Alto
01/03/2017;Medio;Renovable Medio
02/03/2017;Medio;Renovable Bajo
03/03/2017;Medio;Renovable Alto
04/03/2017;Bajo;Renovable Alto
05/03/2017;Bajo;Renovable Alto
06/03/2017;Medio;Renovable Alto
07/03/2017;Medio;Renovable Alto
08/03/2017;Medio;Renovable Bajo
09/03/2017;Medio;Renovable Bajo
10/03/2017;Medio;Renovable Bajo
11/03/2017;Medio;Renovable Medio
12/03/2017;Bajo;Renovable Alto
13/03/2017;Bajo;Renovable Alto
14/03/2017;Bajo;Renovable Alto
15/03/2017;Medio;Renovable Medio
16/03/2017;Medio;Renovable Medio
17/03/2017;Medio;Renovable Medio
18/03/2017;Medio;Renovable Medio
19/03/2017;Medio;Renovable Bajo
20/03/2017;Medio;Renovable Bajo
21/03/2017;Medio;Renovable Medio
22/03/2017;Bajo;Renovable Alto
23/03/2017;Medio;Renovable Medio
24/03/2017;Medio;Renovable Bajo
25/03/2017;Medio;Renovable Medio
26/03/2017;Bajo;Renovable Medio
27/03/2017;Medio;Renovable Medio
28/03/2017;Medio;Renovable Bajo
29/03/2017;Medio;Renovable Bajo
30/03/2017;Medio;Renovable Medio
31/03/2017;Medio;Renovable Medio
01/04/2017;Bajo;Renovable Alto
02/04/2017;Bajo;Renovable Medio
03/04/2017;Medio;Renovable Medio
04/04/2017;Medio;Renovable Medio
05/04/2017;Bajo;Renovable Alto
06/04/2017;Bajo;Renovable Alto
07/04/2017;Medio;Renovable Medio
08/04/2017;Medio;Renovable Medio
09/04/2017;Medio;Renovable Medio
10/04/2017;Medio;Renovable Bajo
11/04/2017;Medio;Renovable Medio
12/04/2017;Medio;Renovable Bajo
13/04/2017;Medio;Renovable Bajo
14/04/2017;Medio;Renovable Bajo
15/04/2017;Medio;Renovable Medio
16/04/2017;Medio;Renovable Medio
17/04/2017;Medio;Renovable Bajo
18/04/2017;Medio;Renovable Medio
19/04/2017;Bajo;Renovable Alto
20/04/2017;Medio;Renovable Alto
21/04/2017;Medio;Renovable Medio
22/04/2017;Medio;Renovable Bajo
23/04/2017;Medio;Renovable Bajo
24/04/2017;Medio;Renovable Bajo
25/04/2017;Medio;Renovable Bajo
26/04/2017;Medio;Renovable Medio
27/04/2017;Medio;Renovable Medio
28/04/2017;Medio;Renovable Medio
29/04/2017;Medio;Renovable Medio
30/04/2017;Bajo;Renovable Alto
01/05/2017;Medio;Renovable Medio
02/05/2017;Medio;Renovable Bajo
03/05/2017;Medio;Renovable Bajo
